window,result,iou,gt_id,prediction_id,confidence
window_074,TP,0.9294891386395382,0.0,1.0,0.9297383427619934
window_074,TP,0.7945454343221776,1.0,0.0,0.9423975944519044
window_075,TP,0.811840013686505,0.0,0.0,0.9329373836517334
window_075,FP,,,1.0,0.7622467875480652
window_076,TP,0.8145694170775316,1.0,1.0,0.9568477869033812
window_076,TP,0.796630247338244,2.0,0.0,0.9607884883880616
window_076,TP,0.6638294610399991,0.0,2.0,0.9266147613525392
window_077,TP,0.9805125051867032,1.0,0.0,0.9588407278060912
window_077,TP,0.8656877436701715,3.0,1.0,0.95323246717453
window_077,TP,0.8579581675966502,2.0,2.0,0.9484848976135254
window_077,TP,0.5320412521442017,0.0,3.0,0.8904964923858643
window_077,FP,,,4.0,0.8698111176490784
window_078,TP,0.9548040074711837,0.0,0.0,0.9536025524139404
window_078,TP,0.9198584292292906,1.0,2.0,0.9519818425178528
window_078,TP,0.8209392172603789,2.0,1.0,0.9526682496070862
window_079,TP,0.9206657874803551,0.0,1.0,0.9487366676330566
window_079,TP,0.8077410608109902,1.0,0.0,0.9539117217063904
window_079,TP,0.6806748762961832,2.0,2.0,0.8927704691886902
window_080,TP,0.9800892306331773,1.0,1.0,0.9424154758453368
window_080,TP,0.9084139692329269,0.0,0.0,0.943742573261261
window_081,TP,0.859775433910921,2.0,0.0,0.8405474424362183
window_081,TP,0.7605382246380442,0.0,1.0,0.7258129715919495
window_081,FN,,1.0,,
window_082,FN,,0.0,,
