window,result,iou,gt_id,prediction_id,confidence
window_069,TP,0.8617457421643463,2.0,0.0,0.9097926020622252
window_069,TP,0.811819504357507,0.0,2.0,0.2875597178936004
window_069,TP,0.7229219360173966,1.0,1.0,0.8424046039581299
window_070,TP,0.8066652916898954,1.0,1.0,0.7020460963249207
window_070,TP,0.7728121895612868,2.0,0.0,0.946723222732544
window_070,FN,,0.0,,
window_071,TP,0.8672107227871052,2.0,1.0,0.8734914064407349
window_071,TP,0.7405560814264932,0.0,0.0,0.93196439743042
window_071,TP,0.5627372796877781,1.0,2.0,0.6590855717658997
window_072,FN,,0.0,,
window_072,FN,,1.0,,
window_072,FN,,2.0,,
window_072,FN,,3.0,,
window_073,TP,0.8373874471575183,3.0,0.0,0.9279855489730836
window_073,TP,0.6823585852430877,2.0,1.0,0.7286707162857056
window_073,FN,,0.0,,
window_073,FN,,1.0,,
window_074,TP,0.8371150632844534,0.0,0.0,0.726780354976654
window_074,FN,,1.0,,
window_075,TP,0.7376972297233262,0.0,1.0,0.4272954165935516
window_075,TP,0.6679114862621189,1.0,0.0,0.7165048718452454
window_076,TP,0.7597669830600837,0.0,0.0,0.8567614555358887
window_076,TP,0.7590761215564439,2.0,3.0,0.7756286263465881
window_076,TP,0.7524172280235979,3.0,1.0,0.8222680687904358
window_076,TP,0.7492364496931333,1.0,2.0,0.8053112030029297
window_076,TP,0.7339444883942452,4.0,4.0,0.7627803683280945
window_077,TP,0.8511954759888041,0.0,0.0,0.9428245425224304
window_077,TP,0.7984298890698387,1.0,1.0,0.906993806362152
window_077,TP,0.7552061597700819,3.0,3.0,0.3907597661018371
window_077,TP,0.6733463582907175,2.0,2.0,0.8697935938835144
window_077,FN,,4.0,,
window_078,TP,0.5997562962881943,2.0,0.0,0.904365062713623
window_078,TP,0.5169462755592967,1.0,1.0,0.8623265027999878
window_078,FN,,0.0,,
window_079,TP,0.8559286085702195,3.0,1.0,0.8896651268005371
window_079,TP,0.8085566792697821,2.0,0.0,0.9065874814987184
window_079,TP,0.747960217172161,1.0,2.0,0.817335307598114
